Name,Type,Level,Race,Attribute,ATK,DEF
"Pulao, Wind of the Yang Zing",Effect Monster,1,Wyrm,WIND,0,1800
Kuriphoton,Effect Monster,1,Fiend,LIGHT,300,200
Beast Soul Swap,Trap Card,,Normal,,,
Bujin Regalia - The Mirror,Spell Card,,Normal,,,
Magician of Dark Illusion,Effect Monster,7,Spellcaster,DARK,2100,2500
Dust Knight,Flip Effect Monster,4,Warrior,EARTH,1400,1200
Evilswarm Hraesvelg,Flip Effect Monster,4,Winged Beast,DARK,1150,1850
Blindly Loyal Goblin,Effect Monster,4,Warrior,EARTH,1800,1500
Gravity Blaster,Spell Card,,Equip,,,
Gladiator Proving Ground,Spell Card,,Normal,,,
Miracle Contact,Spell Card,,Normal,,,
Pot of Desires,Spell Card,,Normal,,,
Wiseman's Chalice,Spell Card,,Normal,,,
Damage Translation,Trap Card,,Normal,,,
Ghost Token,Token,,Fiend,,,
Blue-Eyed Silver Zombie,Normal Monster,3,Zombie,DARK,900,700
Malicevorous Spoon,Effect Monster,2,Fiend,DARK,100,500
Time Seal,Trap Card,,Normal,,,
Woodborg Inpachi,Normal Monster,5,Machine,FIRE,500,2500
Shadow Impulse,Trap Card,,Normal,,,
"Malacoda, Netherlord of the Burning Abyss",Ritual Effect Monster,6,Fiend,DARK,2700,2200
Solemn Wishes,Trap Card,,Continuous,,,
Infestation Infection,Trap Card,,Continuous,,,
Pixie Knight,Effect Monster,2,Spellcaster,LIGHT,1300,200
Snyffus,Tuner Monster,1,Beast,EARTH,100,100
Destiny Signal,Trap Card,,Normal,,,
Book of Eclipse,Spell Card,,Quick-Play,,,
Crystal Blessing,Spell Card,,Normal,,,
Lord British Space Fighter,Effect Monster,4,Machine,LIGHT,1200,800
Multi Token,Token,,Machine,,,
Battlin' Boxer Shadow,Effect Monster,4,Warrior,FIRE,1800,1400
Synchro Blast Wave,Spell Card,,Normal,,,
Birthright,Trap Card,,Continuous,,,
Constellar Twinkle,Spell Card,,Normal,,,
Zefra Divine Strike,Trap Card,,Counter,,,
Mystical Refpanel,Trap Card,,Normal,,,
Dark Witch,Normal Monster,5,Fairy,LIGHT,1800,1700
Light Spiral,Trap Card,,Continuous,,,
Lunalight Kaleido Chick,Effect Monster,4,Beast-Warrior,DARK,1400,800
Steelswarm Sting,Effect Monster,4,Fiend,DARK,1850,0
Kidmodo Dragon,Effect Monster,3,Dragon,EARTH,100,200
Constellar Star Chart,Spell Card,,Continuous,,,
Worm Warlord,Effect Monster,6,Reptile,LIGHT,2350,1800
Tragedy,Trap Card,,Normal,,,
Tragedy,Trap Card,,Normal,,,
Monstrous Bird,Normal Monster,6,Winged Beast,WIND,2000,1900
Foolish Burial Goods,Spell Card,,Normal,,,
Vermillion Sparrow,Fusion Monster,5,Pyro,FIRE,1900,1500
Heart of the Underdog,Spell Card,,Continuous,,,
Arcana Force III - The Empress,Effect Monster,4,Fairy,LIGHT,1300,1300
Eternal Dread,Trap Card,,Normal,,,
Darkbishop Archfiend,Effect Monster,3,Fiend,WATER,300,1400
Superheavy Samurai Soulbuster Gauntlet,Effect Monster,1,Machine,EARTH,0,400
Jinzo - Lord,Effect Monster,8,Machine,DARK,2600,1600
Elemental HERO Flame Wingman,Fusion Monster,6,Warrior,WIND,2100,1200
Shiranui Samurai,Effect Monster,4,Zombie,FIRE,1800,0
Pyrorex the Elemental Lord,Effect Monster,8,Dinosaur,FIRE,2800,2200
Photon Lead,Spell Card,,Quick-Play,,,
Grandram,Effect Monster,4,Rock,EARTH,0,1400
U.A. Powered Jersey,Spell Card,,Equip,,,
Galaxy Knight,Effect Monster,8,Warrior,LIGHT,2800,2600
Shooting Quasar Dragon,Synchro Monster,12,Dragon,LIGHT,4000,4000
Acidic Downpour,Spell Card,,Field,,,
Terrorking Archfiend,Effect Monster,4,Fiend,DARK,2000,1500
Ido the Supreme Magical Force,Effect Monster,6,Fiend,DARK,2200,800
Fire Lake of the Burning Abyss,Trap Card,,Normal,,,
King of the Skull Servants,Effect Monster,1,Zombie,DARK,0,0
Hundred-Footed Horror,Effect Monster,7,Insect,DARK,2600,1300
Penguin Knight,Effect Monster,3,Aqua,WATER,900,800
Babycerasaurus,Effect Monster,2,Dinosaur,EARTH,500,500
One-Shot Wand,Spell Card,,Equip,,,
Magicians Unite,Spell Card,,Normal,,,
Sylvan Marshalleaf,Effect Monster,3,Plant,WATER,1500,1200
Bull Blader,Effect Monster,4,Warrior,EARTH,1600,1200
Realm of Light,Spell Card,,Field,,,
Amazoness Fighting Spirit,Spell Card,,Continuous,,,
Night's End Sorcerer,Tuner Monster,2,Spellcaster,DARK,1300,400
Space Mambo,Normal Monster,4,Fish,WATER,1700,1000
Monster Egg,Normal Monster,3,Warrior,EARTH,600,900
Arma Knight,Normal Monster,4,Aqua,WATER,1000,1200
Majespecter Tornado,Trap Card,,Normal,,,
Gishki Beast,Effect Monster,4,Beast,WATER,1500,1300
Super Vehicroid Jumbo Drill,Fusion Monster,8,Machine,EARTH,3000,2000
Interdimensional Matter Transporter,Trap Card,,Normal,,,
Venom Serpent,Effect Monster,4,Reptile,DARK,1000,800
Backup Soldier,Trap Card,,Normal,,,
Witty Phantom,Normal Monster,4,Fiend,DARK,1400,1300
"Uniflora, Mystical Beast of the Forest",Effect Monster,1,Beast,EARTH,700,500
"Reeze, Whirlwind of Gusto",Effect Monster,5,Psychic,WIND,1900,1400
Vampire Dragon,Effect Monster,5,Zombie,DARK,2400,0
Gilford the Lightning,Effect Monster,8,Warrior,LIGHT,2800,1400
Gilford the Lightning,Effect Monster,8,Warrior,LIGHT,2800,1400
Threatening Roar,Trap Card,,Normal,,,
Soul Strike,Trap Card,,Normal,,,
Lucky Punch,Trap Card,,Continuous,,,
Ambulanceroid,Effect Monster,3,Machine,EARTH,300,1200
Sorciere de Fleur,Effect Monster,8,Spellcaster,DARK,2900,0
Chaos King Archfiend,Synchro Monster,7,Fiend,DARK,2600,2600
Performapal Pinch Helper,Trap Card,,Continuous,,,
The Phantom Knights of Silent Boots,Effect Monster,3,Warrior,DARK,200,1200
Blackwing - Hurricane the Tornado,Tuner Monster,1,Winged Beast,DARK,0,0
Ceasefire,Trap Card,,Normal,,,
Sonic Chick,Effect Monster,1,Winged Beast,EARTH,300,300
Miracle Synchro Fusion,Spell Card,,Normal,,,
Fire Formation - Yoko,Spell Card,,Continuous,,,
Malefic Stardust Dragon,Effect Monster,8,Dragon,DARK,2500,2000
Superheavy Samurai Big Waraji,Effect Monster,5,Machine,EARTH,800,1800
"Farfa, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1000,1900
Core Overclock,Spell Card,,Continuous,,,
Second Coin Toss,Spell Card,,Continuous,,,
Mental Seeker,Tuner Monster,3,Psychic,EARTH,800,600
Brushfire Knight,Effect Monster,4,Warrior,FIRE,1400,1200
Gren Maju Da Eiza,Effect Monster,3,Fiend,FIRE,0,0
Elemental Recharge,Trap Card,,Normal,,,
Mystical Moon,Spell Card,,Equip,,,
Iron Core of Koa'ki Meiru,Spell Card,,Normal,,,
Destiny HERO - Dread Servant,Effect Monster,3,Warrior,DARK,400,700
Ally of Justice Core Destroyer,Effect Monster,3,Machine,DARK,1200,200
Shiranui Spectralsword,Tuner Monster,2,Zombie,FIRE,800,0
Synchron Explorer,Effect Monster,2,Machine,EARTH,0,700
T.G. Rush Rhino,Effect Monster,4,Beast,EARTH,1600,800
Reversal of Fate,Trap Card,,Normal,,,
Designer Frightfur,Trap Card,,Normal,,,
The Phantom Knights of Fragile Armor,Effect Monster,4,Warrior,DARK,1000,2000
Roulette Spider,Spell Card,,Quick-Play,,,
Jurrac Monoloph,Tuner Monster,3,Dinosaur,FIRE,1500,1200
Dimensional Alchemist,Effect Monster,4,Fairy,LIGHT,1300,200
Priestess with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,0,0
Rush Warrior,Effect Monster,2,Warrior,WIND,300,1200
Synchro Change,Spell Card,,Normal,,,
Magna Drago,Tuner Monster,2,Dragon,FIRE,1400,600
Evilswarm Bahamut,XYZ Monster,4,Dragon,DARK,2350,1350
Sky Cavalry Centaurea,XYZ Monster,2,Beast-Warrior,LIGHT,2000,0
Ancient Sorcerer,Normal Monster,4,Spellcaster,DARK,1000,1300
Photon Pirate,Effect Monster,3,Machine,LIGHT,1000,1000
Hot Red Dragon Archfiend Bane,Synchro Monster,10,Dragon,DARK,3500,3000
Armored Glass,Trap Card,,Normal,,,
Dragunity Aklys,Tuner Monster,2,Dragon,WIND,1000,800
Metaphys Horus,Synchro Monster,6,Wyrm,LIGHT,2300,1600
Akihiron,Normal Monster,5,Aqua,WATER,1700,1400
Battlin' Boxing Spirits,Spell Card,,Normal,,,
Castle Gate,Effect Monster,6,Rock,EARTH,0,2400
Byroad Sacrifice,Trap Card,,Normal,,,
Superheavy Samurai Ogre Shutendoji,Synchro Monster,6,Machine,EARTH,500,2500
"Gadarla, the Mystery Dust Kaiju",Effect Monster,8,Insect,WIND,2700,1600
PSY-Frame Overload,Trap Card,,Continuous,,,
Degenerate Circuit,Spell Card,,Continuous,,,
Miraculous Rebirth,Spell Card,,Quick-Play,,,
"Puralis, the Purple Pyrotile",Synchro Tuner Monster,2,Reptile,FIRE,800,1400
D.D. Warrior,Effect Monster,4,Warrior,EARTH,1200,1000
Astral Barrier,Trap Card,,Continuous,,,
Ghostrick-Go-Round,Trap Card,,Continuous,,,
Cyber Ogre 2,Fusion Monster,7,Machine,EARTH,2600,1900
Brotherhood of the Fire Fist - Lion Emperor,XYZ Monster,3,Beast-Warrior,FIRE,2200,200
Cross Counter,Trap Card,,Normal,,,
Gravekeeper's Guard,Flip Effect Monster,4,Spellcaster,DARK,1000,1900
Atlantean Heavy Infantry,Effect Monster,2,Sea Serpent,WATER,0,1600
Malefic Truth Dragon,Effect Monster,12,Dragon,DARK,5000,5000
Numeral Hunter,Effect Monster,4,Warrior,LIGHT,1600,1400
Sword of Dark Destruction,Spell Card,,Equip,,,
Ojama Red,Effect Monster,2,Beast,LIGHT,0,1000
Fairywitch,Normal Monster,3,Spellcaster,DARK,800,1000
Madolche Queen Tiaramisu,XYZ Monster,4,Fairy,EARTH,2200,2100
Gorgonic Cerberus,Effect Monster,3,Rock,DARK,1300,300
PSY-Framelord Zeta,Synchro Monster,7,Psychic,LIGHT,2500,1800
Elemental HERO Ocean,Effect Monster,4,Warrior,WATER,1500,1200
Level Lifter,Spell Card,,Normal,,,
Dark Contract with Errors,Trap Card,,Continuous,,,
Lighten the Load,Spell Card,,Continuous,,,
Heraldry Record,Trap Card,,Counter,,,
Weather Control,Normal Monster,2,Fairy,LIGHT,600,400
Sabersaurus,Normal Monster,4,Dinosaur,EARTH,1900,500
Silent Swordsman LV7,Effect Monster,7,Warrior,LIGHT,2800,1000
T.G. Jet Falcon,Tuner Monster,3,Winged Beast,WIND,1400,1200
Turtle Tiger,Normal Monster,4,Aqua,WATER,1000,1500
Gamble,Trap Card,,Normal,,,
R - Righteous Justice,Spell Card,,Normal,,,
Naturia Forest,Spell Card,,Field,,,
Naturia Eggplant,Effect Monster,2,Plant,EARTH,1000,700
Stoic Challenge,Spell Card,,Equip,,,
Soul Rope,Trap Card,,Normal,,,
Kunai with Chain,Trap Card,,Normal,,,
Kunai with Chain,Trap Card,,Normal,,,
Fengsheng Mirror,Spell Card,,Normal,,,
Hero Blast,Trap Card,,Normal,,,
Degen-Force,Trap Card,,Normal,,,
Charubin the Fire Knight,Fusion Monster,3,Pyro,FIRE,1100,800
Molten Whirlwind Wall,Trap Card,,Continuous,,,
Shaddoll Falco,Tuner Monster,2,Spellcaster,DARK,600,1400
Ancient Gear Tank,Spell Card,,Equip,,,
Catapult Warrior,Synchro Monster,5,Warrior,EARTH,1000,1500
Relieve Monster,Trap Card,,Normal,,,
Sargasso Lighthouse,Spell Card,,Quick-Play,,,
Mind Control,Spell Card,,Normal,,,
Ribbon of Rebirth,Spell Card,,Equip,,,
Gishki Reliever,Effect Monster,2,Aqua,WATER,500,800
Reckless Greed,Trap Card,,Normal,,,
Michizure,Trap Card,,Normal,,,
Shadow Tamer,Flip Effect Monster,3,Warrior,EARTH,800,700
Sprite's Blessing,Spell Card,,Ritual,,,
Power Bond,Spell Card,,Normal,,,
Paleozoic Opabinia,XYZ Monster,2,Aqua,WATER,0,2400
Bone Crusher,Effect Monster,4,Zombie,EARTH,1600,200
Accel Synchron,Synchro Tuner Monster,5,Machine,DARK,500,2100
Kozmo Delta Shuttle,Effect Monster,5,Machine,DARK,2000,2000
Fusion Sword Murasame Blade,Spell Card,,Equip,,,
Geartown,Spell Card,,Field,,,
Levia-Dragon - Daedalus,Effect Monster,7,Sea Serpent,WATER,2600,1500
Honest,Effect Monster,4,Fairy,LIGHT,1100,1900
Wynn the Wind Charmer,Flip Effect Monster,3,Spellcaster,WIND,500,1500
Performapal Bowhopper,Effect Monster,4,Insect,EARTH,1500,1000
Junk Box,Spell Card,,Normal,,,
Dinomist Ceratops,Pendulum Effect Monster,5,Machine,WATER,2100,400
Destiny HERO - Dynatag,Effect Monster,5,Warrior,DARK,1000,1000
Mermail Abyssleed,Effect Monster,7,Sea Serpent,WATER,2700,1000
Metabo-Shark,Effect Monster,4,Fish,WATER,1800,500
Depth Shark,Effect Monster,5,Fish,WATER,1400,0
Hazy Flame Peryton,Effect Monster,6,Pyro,FIRE,1600,1700
Amazing Pendulum,Spell Card,,Normal,,,
Caravan of the Ice Barrier,Effect Monster,1,Sea Serpent,WATER,500,200
Cup of Ace,Spell Card,,Normal,,,
Electro-Whip,Spell Card,,Equip,,,
Rai-Jin,Effect Monster,4,Thunder,LIGHT,0,1000
Hydra Viper,Effect Monster,4,Reptile,WATER,1800,400
Ascension Sky Dragon,Synchro Monster,10,Dragon,LIGHT,0,3000
Steelswarm Roach,XYZ Monster,4,Fiend,DARK,1900,0
Royal Swamp Eel,Tuner Monster,4,Fish,WATER,1700,1200
Gaap the Divine Soldier,Effect Monster,6,Fiend,DARK,2200,2000
Insect Princess,Effect Monster,6,Insect,WIND,1900,1200
Aussa the Earth Charmer,Flip Effect Monster,3,Spellcaster,EARTH,500,1500
Gorgonic Golem,Effect Monster,3,Rock,DARK,1200,600
Qliphort Helix,Pendulum Effect Monster,6,Machine,EARTH,2400,1000
Junk Gardna,Synchro Monster,6,Warrior,EARTH,1400,2600
Chronomaly Moai Carrier,Effect Monster,5,Rock,EARTH,900,1800
Vola-Chemicritter Methydraco,XYZ Monster,8,Beast-Warrior,FIRE,3000,3000
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Dark Magician Girl,Effect Monster,6,Spellcaster,DARK,2000,1700
Akakieisu,Normal Monster,3,Spellcaster,DARK,1000,800
Seed of Flame,Effect Monster,3,Plant,FIRE,1600,1200
Seed Token,Token,,Plant,,,
Genex Ally Chemistrer,Tuner Monster,2,Machine,DARK,200,500
Dustflame Blast,Trap Card,,Normal,,,
Dark Nephthys,Effect Monster,8,Winged Beast,DARK,2400,1600
Dragonic Knight,Effect Monster,7,Dragon,FIRE,2800,2300
Machine Attacker,Normal Monster,5,Machine,EARTH,1600,1300
Trade-In,Spell Card,,Normal,,,
Fluffal Rabbit,Effect Monster,1,Fairy,EARTH,300,1200
Petit Angel,Normal Monster,3,Fairy,LIGHT,600,900
Aromaseraphy Rosemary,Synchro Monster,5,Plant,LIGHT,2000,900
Dark Spirit Art - Greed,Trap Card,,Normal,,,
Unformed Void,XYZ Monster,4,Aqua,LIGHT,0,0
Red Medicine,Spell Card,,Normal,,,
Explossum,Effect Monster,1,Beast,EARTH,100,100
Dark-Eyes Illusionist,Flip Effect Monster,2,Spellcaster,DARK,0,1400
Crimson Knight Vampire Bram,XYZ Monster,5,Zombie,DARK,2500,0
Evilswarm Ouroboros,XYZ Monster,4,Dragon,DARK,2750,1950
Spell Shield Type-8,Trap Card,,Counter,,,
Mikazukinoyaiba,Normal Monster,7,Dragon,DARK,2200,2350
"Enishi, Shien's Chancellor",Effect Monster,6,Warrior,LIGHT,2200,1200
Crawling Dragon 2,Normal Monster,4,Dinosaur,EARTH,1600,1200
Safe Zone,Trap Card,,Continuous,,,
Needle Wall,Trap Card,,Continuous,,,
Tyrant's Tantrum,Trap Card,,Continuous,,,
Star Seraph Scepter,Effect Monster,4,Fairy,LIGHT,1800,400
Locomotion R-Genex,Synchro Monster,9,Machine,DARK,2500,2000
Manga Ryu-Ran,Toon Monster,7,Dragon,FIRE,2200,2600
Needle Ceiling,Trap Card,,Normal,,,
Grand Convergence,Spell Card,,Quick-Play,,,
Gil Garth,Normal Monster,4,Fiend,DARK,1800,1200
Inzektor Earwig,Effect Monster,4,Insect,DARK,1000,1000
Alien Hypno,Gemini Monster,4,Reptile,WATER,1600,700
The Trojan Horse,Effect Monster,4,Beast,EARTH,1600,1200
Lady Panther,Effect Monster,4,Beast-Warrior,EARTH,1400,1300
Junkuriboh,Effect Monster,1,Machine,EARTH,300,200
Laval Cannon,Effect Monster,4,Warrior,FIRE,1600,900
Blue-Eyes Alternative White Dragon,Effect Monster,8,Dragon,LIGHT,3000,2500
Ancient Dragon,Effect Monster,4,Dragon,LIGHT,1400,1300
Meklord Astro Dragon Asterisk,Effect Monster,10,Machine,DARK,0,0
Hazy Flame Cerbereus,Effect Monster,6,Beast,FIRE,2000,200
Shock Troops of the Ice Barrier,Effect Monster,3,Spellcaster,WATER,1500,800
Fushi No Tori,Spirit Monster,4,Winged Beast,FIRE,1200,0
Horn of Light,Spell Card,,Equip,,,
Blackwing - Jin the Rain Shadow,Tuner Monster,1,Winged Beast,DARK,600,500
Wonder Clover,Spell Card,,Normal,,,
Miscellaneousaurus,Effect Monster,4,Dinosaur,FIRE,1800,1000
Advance Force,Spell Card,,Continuous,,,
Robot Buster Destruction Sword,Effect Monster,4,Machine,DARK,1600,1200
Inzektor Orb,Trap Card,,Normal,,,
Satellarknight Vega,Effect Monster,4,Warrior,LIGHT,1200,1600
Black Tyranno,Effect Monster,7,Dinosaur,EARTH,2600,1800
Vylon Stella,Tuner Monster,3,Fairy,LIGHT,1400,200
Mind Trust,Spell Card,,Normal,,,
Envoy of Chaos,Effect Monster,4,Warrior,DARK,1500,0
Book of Taiyou,Spell Card,,Normal,,,
Question,Spell Card,,Normal,,,
The Agent of Wisdom - Mercury,Effect Monster,4,Fairy,LIGHT,0,1700
Lightray Daedalus,Effect Monster,7,Sea Serpent,LIGHT,2600,1500
Frontier Wiseman,Effect Monster,3,Spellcaster,EARTH,1600,800
Photon Leo,Effect Monster,6,Beast,LIGHT,2100,1100
Paleozoic Dinomischus,Trap Card,,Normal,,,
"Release, Reverse, Burst",Trap Card,,Normal,,,
PSY-Framegear Gamma,Tuner Monster,2,Psychic,LIGHT,1000,0
"Rinyan, Lightsworn Rogue",Flip Effect Monster,2,Beast,LIGHT,100,100
Counter Cleaner,Spell Card,,Normal,,,
"Akz, the Pumer",Effect Monster,6,Beast-Warrior,EARTH,1500,1000
Urgent Ritual Art,Trap Card,,Normal,,,
Igknights Unite,Spell Card,,Quick-Play,,,
Ultimate Providence,Trap Card,,Counter,,,
Roboyarou,Normal Monster,3,Machine,EARTH,900,450
Sonic Maid,Normal Monster,3,Warrior,EARTH,1200,900
Dragon Core Hexer,Normal Tuner Monster,8,Dragon,DARK,2300,3000
Photon Lizard,Effect Monster,3,Dragon,LIGHT,900,1200
Gundari,Spirit Monster,4,Pyro,FIRE,1000,200
Desert Protector,Effect Monster,4,Insect,EARTH,800,1000
Hyo,Normal Monster,3,Warrior,WATER,800,1200
Dinomist Plesios,Pendulum Effect Monster,4,Machine,WATER,1700,1400
Wave-Motion Cannon,Spell Card,,Continuous,,,
Cosmo Queen,Normal Monster,8,Spellcaster,DARK,2900,2450
Root Water,Normal Monster,3,Fish,WATER,900,800
Order to Smash,Trap Card,,Normal,,,
Galaxy-Eyes Full Armor Photon Dragon,XYZ Monster,8,Dragon,LIGHT,4000,3500
Koa'ki Meiru Beetle,Effect Monster,4,Insect,EARTH,1900,1500
Pandaborg,Effect Monster,4,Psychic,WATER,1700,1400
Tri-Horned Dragon,Normal Monster,8,Dragon,DARK,2850,2350
Oasis of Dragon Souls,Trap Card,,Continuous,,,
Des Counterblow,Trap Card,,Continuous,,,
Planet Pollutant Virus,Trap Card,,Normal,,,
Berserk Gorilla,Effect Monster,4,Beast,EARTH,2000,1000
Winged Cleaver,Normal Monster,2,Insect,EARTH,700,700
Rigorous Reaver,Flip Effect Monster,3,Plant,FIRE,1600,100
Storm Shooter,Effect Monster,7,Winged Beast,WIND,2300,500
Masked Dragon,Effect Monster,3,Dragon,FIRE,1400,1100
Overlay Sentinel,Effect Monster,4,Warrior,LIGHT,2000,0
Lullaby of Obedience,Spell Card,,Normal,,,
Royal Guard,Normal Monster,6,Machine,EARTH,1900,2200
Fluffal Dog,Effect Monster,4,Fairy,EARTH,1700,1000
Beta the Magnet Warrior,Normal Monster,4,Rock,EARTH,1700,1600
Aquaactress Tetra,Effect Monster,1,Aqua,WATER,300,300
Particle Fusion,Spell Card,,Normal,,,
Neo Galaxy-Eyes Photon Dragon,XYZ Monster,8,Dragon,LIGHT,4500,3000
Face-Off,Trap Card,,Counter,,,
Machina Cannon,Effect Monster,8,Machine,EARTH,0,2200
Ancient Gear Knight,Gemini Monster,4,Machine,EARTH,1800,500
Darkblaze Dragon,Effect Monster,7,Dragon,FIRE,1200,1000
Red-Eyes Archfiend of Lightning,Gemini Monster,6,Fiend,DARK,2500,1200
Return of the Red-Eyes,Trap Card,,Continuous,,,
Battleguard King,Effect Monster,8,Warrior,EARTH,3000,1100
Resurrection of Chakra,Spell Card,,Ritual,,,
Trident Dragion,Synchro Monster,10,Dragon,FIRE,3000,2800
Dododo Witch,Effect Monster,4,Warrior,EARTH,1200,1600
Cyber Dinosaur,Effect Monster,7,Machine,LIGHT,2500,1900
Intercept Wave,Spell Card,,Quick-Play,,,
That Six,Trap Card,,Continuous,,,
Fabled Leviathan,Synchro Monster,10,Fiend,LIGHT,3000,2000
Blade Knight,Effect Monster,4,Warrior,LIGHT,1600,1000
Gem-Knight Master Diamond,Fusion Monster,9,Rock,EARTH,2900,2500
Gift Card,Trap Card,,Normal,,,
Brain Hazard,Trap Card,,Continuous,,,
Ordeal of a Traveler,Trap Card,,Continuous,,,
Mystical Shine Ball,Normal Monster,2,Fairy,LIGHT,500,500
Fullmetalfoes Fusion,Spell Card,,Quick-Play,,,
Subterror Nemesis Archer,Effect Monster,3,Fairy,EARTH,1600,1400
Cyber Angel Dakini,Ritual Effect Monster,8,Fairy,LIGHT,2700,2400
Meklord Army of Wisel,Effect Monster,4,Machine,DARK,1800,0
Evolsaur Darwino,Effect Monster,5,Dinosaur,FIRE,2200,700
Gogiga Gagagigo,Normal Monster,8,Reptile,WATER,2950,2800
Gogogo Giant,Effect Monster,4,Rock,EARTH,2000,0
Brotherhood of the Fire Fist - Leopard,Effect Monster,3,Beast-Warrior,FIRE,0,200
Cards of Consonance,Spell Card,,Normal,,,
Inmato,Effect Monster,3,Plant,DARK,1400,800
Fushioh Richie,Effect Monster,7,Zombie,DARK,2600,2900
Cry Havoc!,Trap Card,,Continuous,,,
Delta Attacker,Spell Card,,Normal,,,
Otohime,Spirit Monster,3,Spellcaster,LIGHT,0,100
Otohime,Spirit Monster,3,Spellcaster,LIGHT,0,100
Neo Flamvell Shaman,Effect Monster,3,Pyro,FIRE,1700,200
Splash Capture,Trap Card,,Normal,,,
Hot Red Dragon Archfiend,Synchro Monster,8,Dragon,DARK,3000,2000
Vile Germs,Spell Card,,Equip,,,
Union Scramble,Trap Card,,Normal,,,
Gimmick Puppet Magnet Doll,Effect Monster,8,Machine,DARK,1000,1000
Sun Dragon Inti,Synchro Monster,8,Dragon,LIGHT,3000,2800
Destiny HERO - Departed,Effect Monster,2,Warrior,DARK,1000,0
Yosenju Misak,Effect Monster,6,Beast,WIND,2300,200
Heavy Mech Support Armor,Union Effect Monster,3,Machine,LIGHT,500,500
Balloon Lizard,Effect Monster,4,Reptile,EARTH,500,1900
Elf's Light,Spell Card,,Equip,,,
Different Dimension Encounter,Trap Card,,Normal,,,
Gishki Marker,Effect Monster,4,Aqua,WATER,1600,1200
Magical Citadel of Endymion,Spell Card,,Field,,,
The True Name,Spell Card,,Normal,,,
Flash of the Forbidden Spell,Spell Card,,Normal,,,
Crystron Quandax,Synchro Tuner Monster,4,Machine,WATER,1800,2000
Revival of the Immortals,Trap Card,,Normal,,,
Kagemusha Tanuki Token,Token,,Beast,,,
Cyber Raider,Effect Monster,4,Machine,DARK,1400,1000
Chain Material,Trap Card,,Normal,,,
Spawn Alligator,Effect Monster,5,Reptile,WATER,2200,1000
Vylon Disigma,XYZ Monster,4,Fairy,LIGHT,2500,2100
Machine Angel Ritual,Spell Card,,Ritual,,,
Shiranui Style Synthesis,Spell Card,,Field,,,
Assault Slash,Trap Card,,Normal,,,
Superheavy Samurai Soulclaw,Effect Monster,2,Machine,EARTH,500,500
Elemental HERO Stratos,Effect Monster,4,Warrior,WIND,1800,300
Arcane Apprentice,Tuner Monster,2,Spellcaster,FIRE,1000,400
Apoqliphort Skybase,Effect Monster,9,Machine,EARTH,2900,2500
Gateway to Chaos,Spell Card,,Field,,,
Ultimate Axon Kicker,Fusion Monster,10,Psychic,LIGHT,2900,1700
Bazoo the Soul-Eater,Effect Monster,4,Beast,EARTH,1600,900
Constellar Virgo,Effect Monster,5,Fairy,LIGHT,2300,1600
Ally Mind,Normal Tuner Monster,5,Machine,DARK,1800,1400
Mirror Resonator,Tuner Monster,1,Fiend,LIGHT,0,0
Mecha Sea Dragon Plesion,Effect Monster,5,Machine,WATER,2300,1800
"Minerva, Lightsworn Maiden",Tuner Monster,3,Spellcaster,LIGHT,800,200
Narrow Pass,Trap Card,,Continuous,,,
Amphibious Bugroth,Fusion Monster,5,Aqua,WATER,1850,1300
Flamvell Commando,Effect Monster,6,Pyro,FIRE,2200,200
Dark Shade,Normal Monster,3,Fiend,WIND,1000,1000
Sleeping Lion,Normal Monster,4,Beast,EARTH,700,1700
Amores of Prophecy,Effect Monster,3,Spellcaster,EARTH,600,2000
Blue Duston,Effect Monster,1,Fiend,WATER,0,1000
Twin-Sword Marauder,Effect Monster,4,Warrior,DARK,1600,1000
Spellbook Library of the Crescent,Spell Card,,Normal,,,
Cocoon of Evolution,Effect Monster,3,Insect,EARTH,0,2000
TG-SX1,Trap Card,,Normal,,,
Brain Jacker,Flip Effect Monster,2,Fiend,DARK,200,900
Black Feather Beacon,Trap Card,,Normal,,,
Performapal Skullcrobat Joker,Pendulum Effect Monster,4,Spellcaster,DARK,1800,100
Lord Poison,Effect Monster,4,Plant,WATER,1500,1000
House Duston,Effect Monster,1,Fiend,LIGHT,0,1000
Hyper Synchron,Tuner Monster,4,Machine,LIGHT,1600,800
Timidity,Spell Card,,Normal,,,
"Gaia, the Mid-Knight Sun",Effect Monster,4,Warrior,LIGHT,1600,1200
Mammoth Graveyard,Normal Monster,3,Dinosaur,EARTH,1200,800
Cold Feet,Spell Card,,Quick-Play,,,
Sonic Shooter,Effect Monster,4,Winged Beast,WIND,1300,600
Abyss Flower,Normal Monster,2,Plant,EARTH,750,400
Starliege Lord Galaxion,XYZ Monster,4,Warrior,LIGHT,2000,2100
Ojama Knight,Fusion Monster,5,Beast,LIGHT,0,2500
Geira Guile the Cubic King,Effect Monster,2,Fairy,WIND,0,0
Homunculus the Alchemic Being,Effect Monster,4,Plant,LIGHT,1800,1600
Cyberdark Dragon,Fusion Monster,8,Machine,DARK,1000,1000
